name,english_name,language,alias,vote_average,vote_count,release_date,my_rating,short_comments,mark_time,douban_id,genres,genres_str
生生长流,,,,8.8,23456,,0,,2025-09-25 12:43:17,1303471,"['剧情', '灾难']","剧情, 灾难"
痛苦与荣耀,,,,8.5,88711,,0,,2025-09-21 23:50:23,30198539,"['剧情', '同性']","剧情, 同性"
关于我母亲的一切,,,,8.5,79059,,0,,2025-09-15 14:13:13,1291937,['剧情'],剧情
合法副本,,,,8.0,34107,,5,用电影论述生活，用生活论述艺术。,2025-09-15 00:41:02,2973543,['剧情'],剧情
巴黎，我爱你,,,,8.3,149128,,0,,2025-09-14 00:31:07,1783772,"['剧情', '喜剧', '爱情']","剧情, 喜剧, 爱情"
地球之夜,,,,8.2,59707,,0,,2025-09-09 13:00:45,1301498,"['剧情', '喜剧']","剧情, 喜剧"
随风而逝,,,,8.1,24336,,0,,2025-09-08 13:47:34,1303444,['剧情'],剧情
樱桃的滋味,,,,8.1,47389,,0,,2025-09-08 13:47:00,1296177,['剧情'],剧情
何处是我朋友的家,,,,9.0,44921,,0,,2025-09-08 13:45:35,1301897,['剧情'],剧情
楢山节考,,,,9.0,68918,,0,,2025-09-08 13:39:29,1296703,"['剧情', '家庭']","剧情, 家庭"
沙丘2,,,,8.1,527916,,3,"什么坤吧沙漠阿凡达 这不是宗教这叫神棍
时隔半年从一个小时开始看前面剧情都忘光光也完全不影响",2025-09-08 00:40:23,35575567,"['剧情', '动作', '科幻']","剧情, 动作, 科幻"
红樱桃,,,,7.6,36268,,0,,2025-09-07 00:33:52,1305034,"['剧情', '战争']","剧情, 战争"
寂静的朋友,,,,8.7,283,,0,,2025-09-06 17:02:29,26967871,"['剧情', '科幻']","剧情, 科幻"
帕特森,,,,8.1,60781,,0,,2025-09-05 19:22:08,26677495,['剧情'],剧情
整蛊专家,,,,8.0,323829,,0,,2025-09-02 01:31:37,1299680,"['喜剧', '爱情']","喜剧, 爱情"
机遇之歌,,,,8.6,15510,,0,,2025-09-02 00:59:13,1307200,['剧情'],剧情
风柜来的人,,,,8.4,60176,,0,,2025-09-01 01:02:03,1299436,['剧情'],剧情
爱情短片,,,,8.8,34669,,5,,2025-08-31 18:44:03,1294570,"['剧情', '爱情']","剧情, 爱情"
杀人短片,,,,8.2,17921,,0,,2025-08-31 18:38:34,1303654,"['剧情', '犯罪']","剧情, 犯罪"
十诫,,,,9.2,26421,,0,,2025-08-31 18:38:31,1301252,['剧情'],剧情
