DIRECTORS,LABEL
彼得·惠特莫尔,
陈凯歌,
尼克·莫里斯,
大森贵弘/出合小都美,
史蒂文·斯皮尔伯格,文艺作者
富兰克林·沙夫纳,
艾伦·吉布森,
大森贵弘/出合小都美,
西德尼·吕美特,
黄建新/杨亚洲,
马可·图利奥·吉奥达纳,
谢添,
迈克尔·恩格勒,
丹尼·博伊尔,商业主流
宫崎骏,动画导演
万籁鸣/唐澄,
查理·卓别林,
埃德·拜,
大森贵弘,
长滨博史,
长滨博史,
王昕/董易,
神山健治,
刘镇伟,文艺作者
刘伟强/麦兆辉,
张艺谋,商业主流
弗朗西斯·福特·科波拉,大师派
赛尔乔·莱昂内,
马基德·马基迪,
小津安二郎,大师派
高志森,
恩斯特·刘别谦,
格雷厄姆·莱恩汉,
桑弧,
神山健治,
王昕,
,
大地丙太郎,
严敏 Min Yan/任静,
加布里埃莱·穆奇诺,
宫崎骏,动画导演
盖·里奇,
罗曼·波兰斯基,
卡尔·蒂贝茨,
李廷香,
押井守,
皮埃尔·布特龙,
埃米尔·库斯图里卡,
并木道子,
高松信司,
让-雅克·阿诺,
黑泽明,大师派
王君正,
彼得·霍顿,
成濑巳喜男,
须藤友德,
宫本理江子,
成濑巳喜男,
,
斯坦利·克雷默,
细田守,
涅提·蒂瓦里,
彼特·道格特/鲍勃·彼德森,
刘镇伟,文艺作者
威廉·惠勒,
大卫·芬奇,商业主流
罗杰·阿勒斯/罗伯·明可夫,
森淳一,
今敏,
森淳一,
严定宪/王树忱/徐景达,
秋昌旼,
押井守,
查理·卓别林,
艾斯林·沃什,
黑泽明,大师派
高畑秀太,
弗里茨·朗,
斯坦利·库布里克,大师派
西奥·安哲罗普洛斯,大师派
安德烈·塔可夫斯基,大师派
吴永刚,
巴斯特·基顿/克莱德·布鲁克曼,
山田尚子,
宫本幸裕/新房昭之,
星護,
陈国星,
英格玛·伯格曼,
,
,
芝山努/須田裕美子,
格雷姆·哈珀,
西奥·安哲罗普洛斯,大师派
贝拉·塔尔,大师派
青木荣,
史蒂文·斯皮尔伯格,文艺作者
王家卫,大师派
亚当·艾略特,
近藤喜文,
特瑞·乔治,
杰茜·尼尔森,
陆庆屹,
罗伯·莱纳,
凯文·科斯特纳,
维托里奥·德西卡,
汤浅政明,
黑泽明,大师派
克里斯蒂亚诺·博尔托内,
科奇·吉尔佐,
瀧沢進介,
英格玛·伯格曼,
詹姆斯·阿尔格/福特·毕比/保罗·萨特菲尔德/宾·沙普斯坦,
詹姆斯·阿尔格/盖坦··布里兹/保罗·布里兹/埃里克·古德伯格/唐·翰,
寺山修司,
浅香守生,
威廉·弗莱德金,
,
王小棣,
石黑升/河森正治,
小林正树,大师派
萨蒂亚吉特·雷伊,文艺作者
,
合田经郎,
奥里奥尔·保罗,
埃里克·布雷斯/J·麦基·格鲁伯,
姜炯哲,
卢卡·瓜达尼诺,
奉俊昊,
陈可辛,
北野武,文艺作者
大森贵弘,
保罗·格林格拉斯,
宫崎骏,动画导演
伦尼·阿伯拉罕森,
藤森雅也,
弗朗西斯·福特·科波拉,大师派
黑泽明,大师派
汤姆·麦卡锡,
杨德昌,大师派
是枝裕和,文艺作者
汤姆·摩尔,
莫娜·阿查切,
金炫锡,
斯坦利·库布里克,大师派
侯孝贤,大师派
黑泽明,大师派
詹姆斯·伊沃里,
吴贻弓,
高畑勋,动画导演
是枝裕和,文艺作者
钟彼得/川尻善昭/小池健/前田真宏/森本晃司/渡边信一郎,
武内英樹/川村泰祐,
大卫·安斯鲍夫,
比利·怀德,
杨德昌,大师派
让·贝克,
奥利佛·斯通,
杰伊·欧力瓦,
杨德昌,大师派
吴天明,
尼克·赫伦,
哈伊鲁丁·克尔瓦瓦茨,
埃利达尔·梁赞诺夫,
迈克尔·莱德福/马西莫·特洛伊西,
阿莱·阿布鲁,
费德里科·费里尼,大师派
尼克·赫伦,
让-保罗·勒沙努瓦,
弗兰克·帕维奇,
巴斯特·基顿,
,
乌贝托·帕索里尼,
山本映一,
何塞·路易斯·奎尔达,
山田尚子,
米克·杰克逊,
新房昭之,
大冢恭司/岩本仁志/渡部智明,
矢吹公郎,
西奥·安哲罗普洛斯,大师派
史蒂文·斯皮尔伯格,文艺作者
戈尔·维宾斯基,文艺作者
梅尔·吉布森,
迪恩·德布洛斯/克里斯·桑德斯,
程小东,
刘镇伟,文艺作者
彼特·道格特/大卫·斯沃曼/李·昂克里奇,
昆汀·塔伦蒂诺,商业主流
温子仁,
高畑勋,动画导演
巴瑞·莱文森,
让-马克·瓦雷,
是枝裕和,文艺作者
黄信尧,
朴勋政,
斯坦利·库布里克,大师派
雷德利·斯科特,商业主流
杜琪峰,
魏德圣,
水田伸生,
是枝裕和,文艺作者
希尔万·肖默,
弗兰克·马歇尔,
张松林,
希尔万·肖默,
何塞·帕迪里亚,
蒋雯丽,
约翰·马登,
伍思薇,
弗兰克·卡普拉,
山田洋次,
大卫·里恩,
尼基塔·米哈尔科夫,
比利·怀德,
乔·庄斯顿,
米尔科·曼彻夫斯基,
山田洋次,
曲建方,
杰斯珀·W·尼尔森,
伍迪·艾伦,
野中卓也,
山崎贵,
英格玛·伯格曼,
鲁伯特·古尔德,
扬·拉豪尔/雅各布·舒/宾-汉·图,
黑泽明,大师派
米歇尔·欧斯洛,
安德烈·塔可夫斯基,大师派
费德里科·费里尼,大师派
佐藤卓哉/滨崎博嗣/若林汉二,
尼基塔·米哈尔科夫,
阿内·拉鲁,
刘易斯·迈尔斯通,
原田真人,
伊藤真朱,
理查德·艾尔,
熊井启,
,
铃木雅之,
比利·怀德,
木下惠介,
小津安二郎,大师派
大卫·格里菲斯,
小津安二郎,大师派
吉田健,
埃米尔·库斯图里卡,
拉尔夫·巴克希,
詹姆斯·惠尔,
查理·卓别林,
阿巴斯·基亚罗斯塔米,大师派
高雄統子,
马塞尔·卡尔内,
马基德·马基迪,
吉田健,
查理·卓别林,
饺子,
唐·霍尔/克里斯·威廉姆斯,
丹尼·博伊尔/洛芙琳·坦丹,
克里斯托弗·诺兰,商业主流
王家卫,大师派
乔治·米勒,
史蒂文·斯皮尔伯格,文艺作者
安德鲁·尼科尔,
保罗·格林格拉斯,
保罗·哈吉斯,
爱德华·兹威克,
罗伯·莱纳,
雷德利·斯科特,商业主流
艾伦·帕克,
克林特·伊斯特伍德,
王竞,
费利普·弥勒,
哈罗德·雷米斯,
高畑勋,动画导演
阿莉切·罗尔瓦赫尔,
奥逊·威尔斯,
诺夫·舒贝尔,
西德尼·波拉克,
克林特·伊斯特伍德,
迈克尔·哈内克,文艺作者
阿尔弗雷德·希区柯克,
北野武,文艺作者
颂裕·素玛戈南/尼提瓦·塔拉吞/维塔亚·东俞扬/埃迪森·特斯利卡森,
石井裕也,
侯孝贤,大师派
西德尼·吕美特,
马丁·赞里维特,
亚历山大·佩恩,
成田岳,
黑泽明,大师派
杨德昌,大师派
丹尼斯·维伦纽瓦,商业主流
威廉·惠勒,
吕克·雅盖,
巴里·索南菲尔德,文艺作者
戚健,
巴巴拉·威尔希尔,
凯利·阿斯博瑞/罗娜·库克,
安德烈·塔可夫斯基/爱德华·阿巴洛夫,
谢尔盖·爱森斯坦,
布拉德·伯德,
大卫·休·琼斯,
阿方索·卡隆,文艺作者
星护,
约瑟夫·L·曼凯维奇,
拉杜·米哈伊列亚努,
乔治·罗伊·希尔,
沟口健二,大师派
冲浦启之,
阿巴斯·基亚罗斯塔米,大师派
伍迪·艾伦,
尼亚尔·迈克考米克,
斯坦利·库布里克,大师派
吉姆·贾木许,文艺作者
洼冈俊之,
张之亮,
菲利普·施特尔茨尔,
水岛努,
山田洋次,
濑下宽之/安藤裕章,
阿涅斯·瓦尔达,大师派
亚历桑德罗·佐杜洛夫斯基,
泰勒·海克福德,
山田洋次,
堤幸彦,
冈本喜八,
理查德·艾尔,
石挥,
堤幸彦,
罗伯特·德尼罗,
约翰·休斯顿,
维克多·艾里斯,
萝拉·多尔伦,
森田芳光,
黑泽明,大师派
芝山努,
托比·海恩斯,
,
贝纳尔多·贝托鲁奇,大师派
路易斯·布努埃尔,
,
木下惠介,
桑杰·里拉·彭萨里,
维托里奥·德西卡,
