DIRECTOR,相近导演,主要电影豆瓣ID,LABEL
J·J·艾布拉姆斯,,,好莱坞商业导演
万马才旦,,30204413 30283179 26586806 35811006 1756057,好莱坞商业导演
三池崇史,园子温、黑泽清、北野武、金基德,3074408 2065021 3726986 1295629 25777512 10537949 1302047 1455849 1401873 30430675,日本剑戟片
丹尼·博伊尔,埃德加·赖特、盖·里奇、萨姆·门德斯,1292528 4164444 22263645 1306421 25850443 1293019 1849371 10508921 5149279 2209573,欧洲作者导演
丹尼斯·维伦纽瓦,克里斯托弗·诺兰、雷德利·斯科特、库布里克、卡隆,3001114 10512661 21324900 35575567 25881247 3592859 4935242 10562986 3236458,好莱坞商业导演
乔·庄斯顿,,,好莱坞商业导演
乔丹·皮尔,,,好莱坞商业导演
亚历山大·索科洛夫,阿列克谢·格尔曼、安德烈·兹维亚金采夫、沃纳·赫尔佐格,10491649 3731625,欧洲作者导演
今村昌平,小津安二郎、成濑巳喜男、黑泽明、是枝裕和,1296703 1303453 1294940 1299125 1302917 1299038 1420283 1303452 1433503 1294867 1299401,日本新浪潮
今泉力哉,,,日本新浪潮
佩德罗·科斯塔,,,欧洲作者导演
佩德罗·阿莫多瓦,维克多·艾里斯、卡洛斯·绍拉、路易斯·布努埃尔,24750126 2997052 1292211 30198539 1291937 1689787 1291878 36687720 1302369 1294315 26296258 35123985 2059321 1300951 1300953 1300952 35874004 1300954,欧洲作者导演
侯孝贤,杨德昌、蔡明亮、王家卫、贾樟柯,1294194 1292330 1421809 1303451 1300572 1299436 1299103 1303458 1302941 1856436 1294735 1302912,台湾新浪潮
保罗·托马斯·安德森,科恩兄弟、塔伦蒂诺、斯科塞斯、马力克,26595385 1945780 26771346 26791678 34439639 26597584 26771340 34798276 26884904 1293564 25870911 1297689 1300211 36060860 2310978 1292965 27084385 26809592 6433905 26771345 25908321 26637623 5432221 5237225,美国独立导演
保罗·格林格拉斯,,,好莱坞商业导演
保罗·索伦蒂诺,加罗内、贝托鲁奇、安东尼奥尼,28427782 25766754 30395843 10760030 35051880 25884125 35134764 35785050 26897438 36404253,意大利现代主义
克日什托夫·基耶斯洛夫斯基,安哲罗普洛斯、塔可夫斯基、布列松、罗梅,1292048 1292047 1292049 1291877 1301252 1294570 1307200 1303654 1294303 1293109 1795570,欧洲作者导演
克日什托夫·扎努西,克日什托夫·基耶斯洛夫斯基、安杰伊·瓦伊达、安德烈·祖拉夫斯基,1294303 1296917 1296507 1307735 3267396 1296511 3381006 1298228 26577936,欧洲作者导演
克洛德·夏布罗尔,埃里克·侯麦、弗朗索瓦·特吕弗、让-吕克·戈达尔,1298254 1297980 1424605 1394261 1304810,欧洲作者导演
克莱伯·门东萨·菲略,,,欧洲作者导演
克莱尔·德尼,奥利维耶·阿萨亚斯、布鲁诺·杜蒙、迈克尔·哈内克,1306791 1303378 1421938 1291564 24875641,欧洲作者导演
克里斯托弗·诺兰,丹尼斯·维伦纽瓦、大卫·芬奇、史蒂文·斯皮尔伯格、雷德利·斯科特,3541415 1889243 1851857 1780330 26607693 3395373 1304447 30444960 35593344 1309069 1397546 1307210,好莱坞商业导演
克里斯蒂安·佩措尔德,玛伦·阿德、安吉拉·尚莱克、施密特,34603816 35221425 22637441 26682880 10438581,好莱坞商业导演
关锦鹏,,1292434 1299288 1308076 1293414 1297036,中国作者导演
冈萨雷斯·伊纳里图,阿方索·卡隆、吉尔莫·德尔·托罗、史蒂文·索德伯格,1292216 35268575 1296472 ,欧洲作者导演
冯小刚,,,中国作者导演
刁亦男,毕赣、娄烨、王小帅、宁浩（黑色）,21941804 27668250 2124751 1922161,中国作者导演
刘镇伟,,1292213 1299398 1291543 1298644 1299765 1307323,中国作者导演
加斯帕·诺埃,,,欧洲作者导演
加罗内,,,好莱坞商业导演
努里·比格·锡兰,克里斯蒂安·佩措尔德、奥利维耶·阿萨亚斯、迈克尔·哈内克,21770915 26878883 1307921 5959260 3077840 1300827,欧洲作者导演
北野武,黑泽清、三池崇史、园子温、今村昌平,35359717 26862893 26252157 3819939 1293359 1302642 1299062 1295815 24875641 1294181 1298351 3039187 1300752 1293995,日本新浪潮
卡尔·西奥多·德雷耶,,,好莱坞商业导演
卡洛斯·绍拉,,,欧洲作者导演
卡洛斯·雷加达斯,卢克雷西亚·马特尔、加斯帕·诺埃、大卫·林奇,5954958 2002721 1476677 26653374,欧洲作者导演
卢克雷西亚·马特尔,,,好莱坞商业导演
卢奇诺·维斯康蒂,费里尼、贝托鲁奇、维托里奥·德·西卡,1300912 1293146 6793337 1303558 1303561 1428007 1401585 27089205 1294377 1449420,意大利现代主义
原惠一,,,日本新浪潮
古尔·达特,,,中国作者导演
史蒂夫·麦奎因,林恩·拉姆塞、保罗·托马斯·安德森、诺亚·鲍姆巴赫,6879185 5360890 3070921,中国作者导演
史蒂文·斯皮尔伯格,罗伯特·泽米吉斯、朗·霍华德、J·J·艾布拉姆斯,1307847 1295124 6793337 2980108 1292849 1305487 3429411 26955451 37225845 35951999 1394445 34439326 1428176 26986505 1300555 4000529 1292274 1294503 1302827 3176843 1299112 36141965 1296666 1294638 4920389 5151820,好莱坞商业导演
史蒂文·索德伯格,保罗·格林格拉斯、大卫·芬奇、理查德·林克莱特,1292341 1301578 1299830 1293050 1292344 1471507 4301043 10438691,好莱坞商业导演
吉姆·贾木许,科恩兄弟、理查德·林克莱特、韦斯·安德森、戈达尔,26677495 1301498 5265471 1296534 1303462 1303723 1416435 1301798 1394176 30274839 1303449 1299535,美国独立导演
吉尔莫·德尔·托罗,彼得·杰克逊、丹尼斯·维伦纽瓦、蒂姆·伯顿,3927767 2675852 1767042 5323968 1308851 1873750,好莱坞商业导演
吴念真,,1292434 1294194 1292330 1295285,中国作者导演
园子温,三池崇史、塚本晋也、黑泽清,2361266 26873077 6902735 6123978 4830236 19955790 1757374,中国作者导演
埃德加·赖特,,,好莱坞商业导演
埃莱姆·克里莫夫,谢尔盖·帕拉杰诺夫、阿列克谢·格尔曼、安德烈·兹维亚金采夫,1422186 2137676,好莱坞商业导演
埃里克·侯麦,让-吕克·戈达尔、弗朗索瓦·特吕弗、克洛德·夏布罗尔,1293632 1302675 1294140 1293388 1294039 1293776 1421309 1293963 1294486 1394348 1303534 1296283 1297344 1296976 1294915 1293030 1292619 2005841 1385500 1296813 1293264,欧洲作者导演
塔伦蒂诺,,,欧洲作者导演
塔可夫斯基,,,欧洲作者导演
塚本晋也,,,欧洲作者导演
大卫·林奇,罗伊·安德森、卡洛斯·雷加达斯、迈克尔·哈内克,1292217 1298506 1298697 1303459 1293200 1298974 1293925 1438734 1303472,好莱坞商业导演
大卫·芬奇,迈克尔·曼、克里斯托弗·诺兰、丹尼斯·维伦纽瓦,1292000 21318488 1292223 1485260 3205624 1781126 4206357 1297929 2998451 1296384 1306911 34461705 10438697,好莱坞商业导演
