douban_id,title,info,mark_time,my_rating_stars,my_rating_label
1395776,逃出克隆岛,逃出克隆岛 / The Island/ 谎岛叛变(港) / 绝地再生(台)[可播放]2005-07-22(美国) / 伊万·麦克格雷格 / 斯嘉丽·约翰逊 / 杰曼·翰苏 / 肖恩·宾 / 史蒂夫·布西密 / 迈克·克拉克·邓肯 / 伊桑·菲利普斯 / 布莱恩·斯泰潘内克 / 诺阿·蒂什比 / 杰米·麦克布莱德 / 美国 / 迈克尔·贝 / 136分钟 / 逃出克隆岛 / 动作 / 科幻 / 卡斯皮安·特雷德维尔-欧文 Caspian Tredwell-Owen / 艾里克斯·库兹曼 Alex Kurtzman / 罗伯托·奥奇 Roberto Orci / 英语2025-07-05补修改删除,2025-07-05,2.0,
34780991,哪吒之魔童闹海,哪吒之魔童闹海/ 哪吒2 / 哪吒2之魔童闹海[可播放]2025-01-29(中国大陆) / 吕艳婷 / 囧森瑟夫 / 瀚墨 / 陈浩 / 绿绮 / 张珈铭 / 杨卫 / 王德顺 / 雨辰 / 李南 / 中国大陆 / 饺子 / 144分钟 / 剧情 / 喜剧 / 动画 / 奇幻 / 饺子 Yu Yang / 汉语普通话2025-02-10看的时候我还以为哪吒会把他妈吃了😂修改删除,2025-02-10,2.0,
36282639,唐探1900,唐探1900/ 唐人街探案1900 / 唐人街探案前传[可播放]2025-01-29(中国大陆) / 王宝强 / 刘昊然 / 周润发 / 白客 / 张新成 / 岳云鹏 / 约翰·库萨克 / 安娜 / 太保 / 王雨甜 / 中国大陆 / 中国香港 / 陈思诚 / 戴墨 / 136分钟 / 喜剧 / 动作 / 悬疑 / 陈思诚 Sicheng Chen / 汉语普通话 / 英语2025-02-05处处体现编剧的创作惰性以及导演的伪个性化。。。修改删除,2025-02-05,1.0,
36653918,抓娃娃,抓娃娃/ Successor[可播放]2024-07-13(大规模点映) / 2024-07-16(中国大陆) / 沈腾 / 马丽 / 史彭元 / 萨日娜 / 肖帛辰 / 张子栋 / 李嘉琦 / 魏翔 / 贾冰 / 于洋 / 中国大陆 / 闫非 / 彭大魔 / 133分钟 / 喜剧 / 彭大魔 Damo Peng / 闫非 Fei Yan / 林炳宝 Bingbao Lin / 汉语普通话 / 英语2024-07-21修改删除,2024-07-21,2.0,
25710912,港囧,港囧/ 人再囧途之港囧 / 人在囧途之港囧[可播放]2015-09-25(中国大陆) / 徐峥 / 包贝尔 / 杜鹃 / 葛民辉 / 李灿森 / 潘虹 / 赵有亮 / 朱媛媛 / 王迅 / 冯勉恒 / 中国大陆 / 徐峥 / 阮惟新 / 114分钟 / 喜剧 / 束焕 Huan Shu / 苏亮 Liang Su / 赵英俊 Yingjun Zhao / 邢爱娜 Aina Xing / 徐峥 Zheng Xu / 汉语普通话 / 粤语2023-05-16修改删除,2023-05-16,1.0,
35663020,哈利·波特20周年：回到霍格沃茨,哈利·波特20周年：回到霍格沃茨 / Harry Potter 20th Anniversary: Return to Hogwarts/ 哈利·波特20周年特辑：重返霍格沃茨[可播放]2022-01-01(美国网络) / 丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 海伦娜·伯翰·卡特 / 加里·奥德曼 / 拉尔夫·费因斯 / 玛吉·史密斯 / 克里斯·哥伦布 / 汤姆·费尔顿 / 邦妮·怀特 / 英国 / 美国 / 伊兰·克里维 / 103分钟 / 哈利·波特20周年：回到霍格沃茨 / 纪录片 / 英语2023-02-14梅伊格诗人修改删除,2023-02-14,2.0,
3074503,功夫梦,功夫梦 / The Karate Kid/ 新龙威小子 / 功夫小子[可播放]2010-06-10(韩国) / 2010-06-11(美国) / 2010-06-22(中国大陆) / 贾登·史密斯 / 成龙 / 塔拉吉·P·汉森 / 韩雯雯 / 于荣光 / 赵毅 / 王姬 / 晓庆 / 林宇阳 / 李磊 / 美国 / 中国大陆 / 哈罗德·兹瓦特 / 140分钟 / 功夫梦 / 动作 / 剧情 / 家庭 / 运动 / 克里斯托弗·墨菲 Christopher Murphey / 罗伯特·马克·卡门 Robert Mark Kamen / 英语 / 汉语普通话2023-01-29修改删除,2023-01-29,2.0,
19944106,美人鱼,美人鱼/ Mermaid[可播放]2016-02-08(中国大陆) / 2016-02-08(中国香港) / 邓超 / 罗志祥 / 张雨绮 / 林允 / 徐克 / 李尚正 / 卢正雨 / 白客 / 孔连顺 / 田启文 / 中国大陆 / 中国香港 / 周星驰 / 93分钟 / 喜剧 / 爱情 / 奇幻 / 周星驰 Stephen Chow / 李思臻 Kelvin Lee / 何妙祺 Miu-Kei Ho / 卢正雨 Zhengyu Lu / 冯志强 Chi Keung Fung / 陈庆嘉 Hing-Ka Chan / 江玉仪 Ivy Kong / 曾谨昌 Kan-Cheung Tsang / 汉语普通话 / 英语 / 日语2023-01-29罗志祥和林允太让人印象深刻了修改删除,2023-01-29,2.0,
25825412,机械师2：复活,机械师2：复活 / Mechanic: Resurrection/ 秒速杀机2(港) / 极速秒杀2(台)[可播放]2016-08-26(美国) / 2016-10-21(中国大陆) / 杰森·斯坦森 / 杰西卡·阿尔芭 / 汤米·李·琼斯 / 杨紫琼 / 山姆·哈兹尔丁 / 约翰·塞纳迭姆博 / 托比·艾丁顿 / 费米·依鲁福祖 / 安提欧·昆塔瓦莱 / 芮塔·彭安 / 美国 / 法国 / 保加利亚 / 德国 / www.mechanic.movie/ / 丹尼斯·甘塞尔 / 98分钟(美国) / 97分钟(中国大陆) / 机械师2：复活 / 动作 / 犯罪 / 菲利普·谢尔比 Philip Shelby / Tony Mosher / 英语 / 葡萄牙语 / 泰语 / 保加利亚语2023-01-29修改删除,2023-01-29,2.0,
11610281,敢死队3,敢死队3 / The Expendables 3/ 浴血任务3(台) / 轰天猛将3(港)[可播放]2014-08-04(伦敦首映) / 2014-08-15(美国) / 2014-09-01(中国大陆) / 西尔维斯特·史泰龙 / 杰森·斯坦森 / 哈里森·福特 / 阿诺·施瓦辛格 / 梅尔·吉布森 / 韦斯利·斯奈普斯 / 杜夫·龙格尔 / 兰迪·库卓 / 泰瑞·克鲁斯 / 凯尔塞·格拉玛 / 美国 / 法国 / 帕特里克·休斯 / 126分钟(美国) / 132分钟(加长版) / 敢死队3 / 动作 / 惊悚 / 冒险 / 西尔维斯特·史泰龙 Sylvester Stallone / 克赖顿·罗森博格 Creighton Rothenberger / 凯特琳·贝内迪克特 Katrin Benedikt / 戴夫·卡拉汉姆 Dave Callaham / 英语2023-01-29修改删除,2023-01-29,2.0,
