douban_id,title,info,mark_time,my_rating_stars,my_rating_label
1291877,两生花,两生花 / La Double vie de Véronique/ 薇洛妮卡的双重生活 / 维罗尼卡的双重生命[可播放]1991-05-15(法国) / 1991-09-20(挪威) / 1991-10-06(波兰) / 伊莲娜·雅各布 / 哈丽娜·格雷格拉谢夫斯卡 / 卡里娜·谢鲁斯克 / 亚历山大·巴尔迪尼 / 瓦迪斯瓦夫·科瓦尔斯基 / 杰兹·古德寇 / 菲利普·沃特 / 桑德琳·杜马斯 / 路易斯·迪克勒 / 克洛德·迪内通 / 法国 / 波兰 / 挪威 / 克日什托夫·基耶斯洛夫斯基 / 98分钟 / 两生花 / 剧情 / 爱情 / 奇幻 / 克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski / 克日什托夫·皮耶谢维茨 Krzysztof Piesiewicz / 法语 / 波兰语 / 意大利语2025-10-04修改删除,2025-10-04,5.0,
2973543,合法副本,合法副本 / Copie conforme/ 似是有缘人(港) / 爱情对白(台)[可播放]2010-05-18(戛纳电影节) / 2010-05-19(法国) / 朱丽叶·比诺什 / 威廉姆·西梅尔 / 让-克劳德·卡里埃尔 / 阿加特·纳坦松 / 詹纳·贾凯蒂 / 阿德里安·穆尔 / 安杰洛·巴尔巴加洛 / 安德烈亚·劳伦齐 / 菲利波·特罗亚诺 / 曼努埃拉·巴尔西梅利 / 法国 / 意大利 / 比利时 / 伊朗 / 阿巴斯·基亚罗斯塔米 / 106分钟 / 合法副本 / 剧情 / 阿巴斯·基亚罗斯塔米 Abbas Kiarostami / Caroline Eliacheff / Massoumeh Lahidji / 法语 / 英语 / 意大利语2025-09-15用电影论述生活，用生活论述艺术。修改删除,2025-09-15,5.0,
1294570,爱情短片,爱情短片 / Krótki film o miłości/ 情路长短调(台) / 关于爱情的短片[可播放]1988-10-21(波兰) / 格拉日娜·沙波沃夫斯卡 / 奥拉夫·卢巴申科 / 斯特凡尼亚·伊文斯卡 / 比奥迪·玛查里卡 / 阿图尔·巴奇斯 / 汉娜·霍伊纳茨卡 / 斯塔尼斯拉娃·加瓦里克 / 托马斯兹·格拉多维斯基 / 拉法尔·伊穆布罗 / 杨·皮科辛斯基 / 波兰 / 克日什托夫·基耶斯洛夫斯基 / 88分钟 / 爱情短片 / 剧情 / 爱情 / 克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski / 克日什托夫·皮耶谢维茨 Krzysztof Piesiewicz / 波兰语 / 葡萄牙语2025-08-31修改删除,2025-08-31,5.0,
1296196,乱,乱/ 乱日本战国时代 / Revolt[可播放]1985-06-01(日本) / 仲代达矢 / 寺尾聪 / 根津甚八 / 隆大介 / 原田美枝子 / 宫崎美子 / 井川比佐志 / 池畑慎之介 / 油井昌由树 / 加藤和夫 / 日本 / 法国 / 黑泽明 / 162分钟 / 乱 / 剧情 / 动作 / 黑泽明 Akira Kurosawa / 小国英雄 Hideo Oguni / 井手雅人 Masato Ide / 日语2025-08-23修改删除,2025-08-23,5.0,
1292047,蓝白红三部曲之红,蓝白红三部曲之红 / Trois couleurs: Rouge/ 红 / 红色情深(台)[可播放]1994-05-12(戛纳电影节) / 1994-05-27(波兰) / 1994-09-14(法国) / 伊莲娜·雅各布 / 让-路易·特兰蒂尼昂 / 弗雷德里奎·费德 / 让-皮耶·罗利特 / 塞缪尔·勒·比汉 / 马里恩·斯泰伦斯 / 特科·切里奥 / 伯纳德·埃斯卡隆 / 让·施莱格尔 / 埃尔兹别塔·亚辛斯卡 / 法国 / 波兰 / 瑞士 / 克日什托夫·基耶斯洛夫斯基 / 99分钟 / 蓝白红三部曲之红 / 剧情 / 爱情 / 悬疑 / 克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski / 克日什托夫·皮耶谢维奇 Krzysztof Piesiewicz / 阿格涅丝卡·霍兰 Agnieszka Holland / 爱德华·泽布罗夫斯基 Edward Zebrowski / 爱德华·克罗西斯基 Edward Klosinski / 法语2025-08-11发现自己看电影太不敏感了…修改删除,2025-08-11,5.0,
1292049,蓝白红三部曲之白,蓝白红三部曲之白 / Trois couleurs: Blanc/ 白 / 白色情迷(台)[可播放]1994-01-26(法国) / 1994-02-25(波兰) / 齐伯尼·查马修瓦斯基 / 朱莉·德尔佩 / 雅努什·加约斯 / 耶日·斯图尔 / 亚历山大·巴尔迪尼 / 格热戈日·瓦寇 / 采扎里·哈拉西摩威奇 / 耶日·诺瓦克 / 杰吉·特雷拉 / 采扎里·帕祖拉 / 法国 / 波兰 / 瑞士 / 克日什托夫·基耶斯洛夫斯基 / 92分钟 / 蓝白红三部曲之白 / 喜剧 / 剧情 / 悬疑 / 爱情 / 克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski / 克日什托夫·皮耶谢维茨 Krzysztof Piesiewicz / 阿格涅丝卡·霍兰 Agnieszka Holland / 爱德华·布罗夫斯基 Edward Zebrowski / 爱德华·克罗西斯基 Edward Klosinski / 马辛·拉塔洛 Marcin Latallo / 法语 / 波兰语2025-08-10修改删除,2025-08-10,5.0,
36117334,性梦爱三部曲：梦,性梦爱三部曲：梦 / Drømmer/ 性爱梦之做梦(港) / 同夢奇緣之夢(港)2024-09-23(挪威) / 2025-02-19(柏林国际电影节) / 艾拉·奥弗比 / 安妮·达尔·托普 / 塞罗姆·埃内图 / 英格丽德·吉耶弗 / 西莉耶·布雷维克 / 安妮·玛丽特·雅各布森 / 拉尔斯·雅各布·霍尔姆 / 瓦尔德马尔·多麦嫩·伊尔根斯 / 布林贾·阿贝·本德里恩 / 安德琳·萨瑟尔 / 挪威 / 达格·约翰·豪格鲁德 / 111分钟 / 性梦爱三部曲：梦 / 剧情 / 同性 / 达格·约翰·豪格鲁德 Dag Johan Haugerud / 挪威语2025-08-09修改删除,2025-08-09,5.0,
1292048,蓝白红三部曲之蓝,蓝白红三部曲之蓝 / Trois couleurs: Bleu/ 蓝 / 蓝色情挑(台)[可播放]1993-09-03(特柳赖德电影节) / 1993-09-08(法国) / 1993-10-10(波兰) / 朱丽叶·比诺什 / 贝努特·里格恩特 / 弗罗伦斯·派梅尔 / 夏洛特·韦里 / 海伦·文森特 / 菲利普·沃特 / 克洛德·迪内通 / 休格·奎斯特 / 埃玛妞·丽娃 / 弗洛伦斯·维尼翁 / 法国 / 波兰 / 瑞士 / 克日什托夫·基耶斯洛夫斯基 / 98分钟 / 蓝白红三部曲之蓝 / 剧情 / 爱情 / 音乐 / 克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski / 克日什托夫·皮耶谢维茨 Krzysztof Piesiewicz / 阿格涅丝卡·霍兰 Agnieszka Holland / 爱德华·布罗夫斯基 Edward Zebrowski / 斯拉沃米尔·埃迪扎克 Slawomir Idziak / 法语 / 波兰语 / 罗马尼亚语2025-08-05修改删除,2025-08-05,5.0,
35689244,F1：狂飙飞车,F1：狂飙飞车 / F1: The Movie/ F1：赛道风云 / F1电影(台)2025-06-25(中国台湾) / 2025-06-27(美国/中国大陆) / 布拉德·皮特 / 戴姆森·伊德瑞斯 / 哈维尔·巴登 / 凯瑞·康顿 / 托比亚斯·门基斯 / 金·波德尼亚 / 萨拉·奈尔斯 / 威尔·梅瑞克 / 约瑟夫·巴德拉玛 / 萨姆森·卡约 / 美国 / 约瑟夫·科辛斯基 / 2025-06-23 / 156分钟 / F1：狂飙飞车 / 剧情 / 动作 / 运动 / 伊伦·克鲁格 Ehren Kruger / 约瑟夫·科辛斯基 Joseph Kosinski / 英语2025-07-10F1最佳宣传片。。修改删除,2025-07-10,4.0,
1300275,大开眼戒,大开眼戒 / Eyes Wide Shut/ 紧闭双眼 / 睁大双眼1999-07-16(美国) / 1999-09-10(英国) / 汤姆·克鲁斯 / 妮可·基德曼 / 麦迪逊·埃金顿 / 杰基·萨维里斯 / 西德尼·波拉克 / 莱斯利·洛韦 / 托德·菲尔德 / 迈克尔·多文 / 斯凯·杜·蒙特 / 兰德尔·保罗 / 英国 / 美国 / 斯坦利·库布里克 / 159 分钟 / 大开眼戒 / 剧情 / 悬疑 / 惊悚 / 情色 / 斯坦利·库布里克 Stanley Kubrick / 弗雷德里克·拉菲尔 Frederic Raphael / 英语2025-07-05很库，看不大懂。确实大开眼界，fuck。修改删除,2025-07-05,5.0,
