title,info,mark_time,link,poster,rating
合法副本 / Copie conforme/ 似是有缘人(港) / 爱情对白(台),合法副本 / Copie conforme/ 似是有缘人(港) / 爱情对白(台)[可播放]2010-05-18(戛纳电影节) / 2010-05-19(法国) / 朱丽叶·比诺什 / 威廉姆·西梅尔 / 让-克劳德·卡里埃尔 / 阿加特·纳坦松 / 詹纳·贾凯蒂 / 阿德里安·穆尔 / 安杰洛·巴尔巴加洛 / 安德烈亚·劳伦齐 / 菲利波·特罗亚诺 / 曼努埃拉·巴尔西梅利 / 法国 / 意大利 / 比利时 / 伊朗 / 阿巴斯·基亚罗斯塔米 / 106分钟 / 合法副本 / 剧情 / 阿巴斯·基亚罗斯塔米 Abbas Kiarostami / Caroline Eliacheff / Massoumeh Lahidji / 法语 / 英语 / 意大利语2025-09-15用电影论述生活，用生活论述艺术。修改删除,2025-09-15,https://movie.douban.com/subject/2973543/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p567795093.jpg,10
沙丘2 / Dune: Part Two/ 沙丘：第二部(台) / 沙丘瀚战：第二章(港),"沙丘2 / Dune: Part Two/ 沙丘：第二部(台) / 沙丘瀚战：第二章(港)[可播放]2024-02-28(法国) / 2024-03-01(美国) / 2024-03-08(中国大陆) / 提莫西·查拉梅 / 赞达亚 / 丽贝卡·弗格森 / 哈维尔·巴登 / 乔什·布洛林 / 奥斯汀·巴特勒 / 弗洛伦丝·皮尤 / 戴夫·巴蒂斯塔 / 克里斯托弗·沃肯 / 蕾雅·赛杜 / 美国 / 加拿大 / 丹尼斯·维伦纽瓦 / 166分钟 / 沙丘2 / 剧情 / 动作 / 科幻 / 冒险 / 丹尼斯·维伦纽瓦 Denis Villeneuve / 乔·斯派茨 Jon Spaihts / 英语2025-09-08什么坤吧沙漠阿凡达 这不是宗教这叫神棍
时隔半年从一个小时开始看前面剧情都忘光光也完全不影响修改删除",2025-09-08,https://movie.douban.com/subject/35575567/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2902227445.jpg,6
爱情短片 / Krótki film o miłości/ 情路长短调(台) / 关于爱情的短片,爱情短片 / Krótki film o miłości/ 情路长短调(台) / 关于爱情的短片[可播放]1988-10-21(波兰) / 格拉日娜·沙波沃夫斯卡 / 奥拉夫·卢巴申科 / 斯特凡尼亚·伊文斯卡 / 比奥迪·玛查里卡 / 阿图尔·巴奇斯 / 汉娜·霍伊纳茨卡 / 斯塔尼斯拉娃·加瓦里克 / 托马斯兹·格拉多维斯基 / 拉法尔·伊穆布罗 / 杨·皮科辛斯基 / 波兰 / 克日什托夫·基耶斯洛夫斯基 / 88分钟 / 爱情短片 / 剧情 / 爱情 / 克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski / 克日什托夫·皮耶谢维茨 Krzysztof Piesiewicz / 波兰语 / 葡萄牙语2025-08-31修改删除,2025-08-31,https://movie.douban.com/subject/1294570/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2189908788.jpg,10
乱/ 乱日本战国时代 / Revolt,乱/ 乱日本战国时代 / Revolt[可播放]1985-06-01(日本) / 仲代达矢 / 寺尾聪 / 根津甚八 / 隆大介 / 原田美枝子 / 宫崎美子 / 井川比佐志 / 池畑慎之介 / 油井昌由树 / 加藤和夫 / 日本 / 法国 / 黑泽明 / 162分钟 / 乱 / 剧情 / 动作 / 黑泽明 Akira Kurosawa / 小国英雄 Hideo Oguni / 井手雅人 Masato Ide / 日语2025-08-23修改删除,2025-08-23,https://movie.douban.com/subject/1296196/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2556724149.jpg,10
蓝白红三部曲之红 / Trois couleurs: Rouge/ 红 / 红色情深(台),蓝白红三部曲之红 / Trois couleurs: Rouge/ 红 / 红色情深(台)[可播放]1994-05-12(戛纳电影节) / 1994-05-27(波兰) / 1994-09-14(法国) / 伊莲娜·雅各布 / 让-路易·特兰蒂尼昂 / 弗雷德里奎·费德 / 让-皮耶·罗利特 / 塞缪尔·勒·比汉 / 马里恩·斯泰伦斯 / 特科·切里奥 / 伯纳德·埃斯卡隆 / 让·施莱格尔 / 埃尔兹别塔·亚辛斯卡 / 法国 / 波兰 / 瑞士 / 克日什托夫·基耶斯洛夫斯基 / 99分钟 / 蓝白红三部曲之红 / 剧情 / 爱情 / 悬疑 / 克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski / 克日什托夫·皮耶谢维奇 Krzysztof Piesiewicz / 阿格涅丝卡·霍兰 Agnieszka Holland / 爱德华·泽布罗夫斯基 Edward Zebrowski / 爱德华·克罗西斯基 Edward Klosinski / 法语2025-08-11发现自己看电影太不敏感了…修改删除,2025-08-11,https://movie.douban.com/subject/1292047/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173726043.jpg,10
蓝白红三部曲之白 / Trois couleurs: Blanc/ 白 / 白色情迷(台),蓝白红三部曲之白 / Trois couleurs: Blanc/ 白 / 白色情迷(台)[可播放]1994-01-26(法国) / 1994-02-25(波兰) / 齐伯尼·查马修瓦斯基 / 朱莉·德尔佩 / 雅努什·加约斯 / 耶日·斯图尔 / 亚历山大·巴尔迪尼 / 格热戈日·瓦寇 / 采扎里·哈拉西摩威奇 / 耶日·诺瓦克 / 杰吉·特雷拉 / 采扎里·帕祖拉 / 法国 / 波兰 / 瑞士 / 克日什托夫·基耶斯洛夫斯基 / 92分钟 / 蓝白红三部曲之白 / 喜剧 / 剧情 / 悬疑 / 爱情 / 克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski / 克日什托夫·皮耶谢维茨 Krzysztof Piesiewicz / 阿格涅丝卡·霍兰 Agnieszka Holland / 爱德华·布罗夫斯基 Edward Zebrowski / 爱德华·克罗西斯基 Edward Klosinski / 马辛·拉塔洛 Marcin Latallo / 法语 / 波兰语2025-08-10修改删除,2025-08-10,https://movie.douban.com/subject/1292049/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1604838524.jpg,10
性梦爱三部曲：梦 / Drømmer/ 性爱梦之做梦(港) / 同夢奇緣之夢(港),性梦爱三部曲：梦 / Drømmer/ 性爱梦之做梦(港) / 同夢奇緣之夢(港)2024-09-23(挪威) / 2025-02-19(柏林国际电影节) / 艾拉·奥弗比 / 安妮·达尔·托普 / 塞罗姆·埃内图 / 英格丽德·吉耶弗 / 西莉耶·布雷维克 / 安妮·玛丽特·雅各布森 / 拉尔斯·雅各布·霍尔姆 / 瓦尔德马尔·多麦嫩·伊尔根斯 / 布林贾·阿贝·本德里恩 / 安德琳·萨瑟尔 / 挪威 / 达格·约翰·豪格鲁德 / 111分钟 / 性梦爱三部曲：梦 / 剧情 / 达格·约翰·豪格鲁德 Dag Johan Haugerud / 挪威语2025-08-09修改删除,2025-08-09,https://movie.douban.com/subject/36117334/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2917731188.jpg,10
蓝白红三部曲之蓝 / Trois couleurs: Bleu/ 蓝 / 蓝色情挑(台),蓝白红三部曲之蓝 / Trois couleurs: Bleu/ 蓝 / 蓝色情挑(台)[可播放]1993-09-03(特柳赖德电影节) / 1993-09-08(法国) / 1993-10-10(波兰) / 朱丽叶·比诺什 / 贝努特·里格恩特 / 弗罗伦斯·派梅尔 / 夏洛特·韦里 / 海伦·文森特 / 菲利普·沃特 / 克洛德·迪内通 / 休格·奎斯特 / 埃玛妞·丽娃 / 弗洛伦斯·维尼翁 / 法国 / 波兰 / 瑞士 / 克日什托夫·基耶斯洛夫斯基 / 98分钟 / 蓝白红三部曲之蓝 / 剧情 / 爱情 / 音乐 / 克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski / 克日什托夫·皮耶谢维茨 Krzysztof Piesiewicz / 阿格涅丝卡·霍兰 Agnieszka Holland / 爱德华·布罗夫斯基 Edward Zebrowski / 斯拉沃米尔·埃迪扎克 Slawomir Idziak / 法语 / 波兰语 / 罗马尼亚语2025-08-05修改删除,2025-08-05,https://movie.douban.com/subject/1292048/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1978408096.jpg,10
于洛先生的假期 / Les vacances de Monsieur Hulot/ 妙人异迹(港) / 傻佬放大假(港),于洛先生的假期 / Les vacances de Monsieur Hulot/ 妙人异迹(港) / 傻佬放大假(港)[可播放]1953-02-25 / 雅克·塔蒂 / 娜塔莉·帕斯考德 / 米舍利娜·罗拉 / Valentine Camax / 吕西安·弗雷吉斯 / 苏济·维利 / Louis Pérault / André Dubois / 雷蒙德·卡尔 / René Lacourt / 法国 / 雅克·塔蒂 / 114 分钟 / Singapore: 96 分钟 / Sweden: 95 分钟 / USA: 83 分钟 / Finland: 100 分钟(1955) / 于洛先生的假期 / 喜剧 / Pierre Aubert / Jacques Lagrange / 亨利·马尔凯 Henri Marquet / 雅克·塔蒂 Jacques Tati / 法语 / 英语 / 德语2025-08-03修改删除,2025-08-03,https://movie.douban.com/subject/1305790/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1056235237.jpg,6
F1：狂飙飞车 / F1: The Movie/ F1：赛道风云 / F1电影(台),F1：狂飙飞车 / F1: The Movie/ F1：赛道风云 / F1电影(台)2025-06-25(中国台湾) / 2025-06-27(美国/中国大陆) / 布拉德·皮特 / 戴姆森·伊德瑞斯 / 哈维尔·巴登 / 凯瑞·康顿 / 托比亚斯·门基斯 / 金·波德尼亚 / 萨拉·奈尔斯 / 威尔·梅瑞克 / 约瑟夫·巴德拉玛 / 萨姆森·卡约 / 美国 / 约瑟夫·科辛斯基 / 2025-06-23 / 156分钟 / F1：狂飙飞车 / 剧情 / 动作 / 运动 / 伊伦·克鲁格 Ehren Kruger / 约瑟夫·科辛斯基 Joseph Kosinski / 英语2025-07-10F1最佳宣传片。。修改删除,2025-07-10,https://movie.douban.com/subject/35689244/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2922238175.jpg,8
