title,info,mark_time,link,poster,rating
生生长流 / زندگی و دیگر هیچ/ 春风吹又生(港) / 生活在继续,生生长流 / زندگی و دیگر هیچ/ 春风吹又生(港) / 生活在继续[可播放]1992-02-01(伊朗) / 法德哈·基德曼 / 布巴·巴尤尔· / 奥西纳·法赫 / 侯赛因·拉扎伊 / Tahereh Ladanian / 伊朗 / 阿巴斯·基亚罗斯塔米 / 95分钟 / 102分钟(阿根廷) / 108分钟(加拿大) / 91分钟(台湾) / 生生长流 / 剧情 / 灾难 / 阿巴斯·基亚罗斯塔米 Abbas Kiarostami / 波斯语2025-09-25修改删除,2025-09-25,https://movie.douban.com/subject/1303471/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1944277781.jpg,
痛苦与荣耀 / Dolor y gloria/ 万千痛爱在一身(港) / Pain & Glory,痛苦与荣耀 / Dolor y gloria/ 万千痛爱在一身(港) / Pain & Glory2019-03-13(马德里首映) / 2019-03-22(西班牙) / 2019-05-17(戛纳电影节) / 安东尼奥·班德拉斯 / 阿谢尔·埃特塞安迪亚 / 莱昂纳多·斯巴拉格利亚 / 诺拉·纳瓦斯 / 胡丽叶塔·塞拉诺 / 塞萨尔·文森特 / 阿瑟·弗洛雷斯 / 佩内洛普·克鲁兹 / 塞西莉亚·罗特 / 苏西·桑切斯 / 西班牙 / 法国 / 佩德罗·阿莫多瓦 / 113分钟 / 痛苦与荣耀 / 剧情 / 同性 / 佩德罗·阿莫多瓦 Pedro Almodóvar / 西班牙语2025-09-21修改删除,2025-09-21,https://movie.douban.com/subject/30198539/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2593729173.jpg,
关于我母亲的一切 / Todo sobre mi madre/ 论尽我阿妈(港) / 我的母亲(台),关于我母亲的一切 / Todo sobre mi madre/ 论尽我阿妈(港) / 我的母亲(台)[可播放]1999-04-08(西班牙首映) / 1999-04-16(西班牙) / 1999-05-15(戛纳电影节) / 1999-05-19(法国) / 塞西莉亚·罗特 / 玛丽萨·帕雷德斯 / 坎德拉·佩尼亚 / 安东尼亚·圣胡安 / 佩内洛普·克鲁兹 / 罗莎·玛丽亚·萨尔达 / 费尔南多·费尔南·戈麦斯 / 托尼·坎托 / 埃罗·阿索林 / 卡洛斯·洛萨诺 / 西班牙 / 法国 / 佩德罗·阿莫多瓦 / 101分钟 / 关于我母亲的一切 / 剧情 / 佩德罗·阿莫多瓦 Pedro Almodóvar / 西班牙语 / 加泰罗尼亚语 / 英语2025-09-15修改删除,2025-09-15,https://movie.douban.com/subject/1291937/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2167231837.jpg,
"巴黎，我爱你 / Paris, je t'aime/ 我爱巴黎(港) / Paris, I Love You","巴黎，我爱你 / Paris, je t'aime/ 我爱巴黎(港) / Paris, I Love You2006-05-18(戛纳电影节) / 2006-06-21(法国) / 朱丽叶·比诺什 / 威廉·达福 / 娜塔莉·波特曼 / 加斯帕德·尤利尔 / 热拉尔·德帕迪约 / 玛吉·吉伦哈尔 / 伊利亚·伍德 / 欧嘉·柯瑞兰寇 / 亚历山大·佩恩 / 李昕 / 法国 / 列支敦士登 / 瑞士 / 德国 / 美国 / 奥利维耶·阿萨亚斯 / 伊桑·科恩 / 乔尔·科恩 / 格斯·范·桑特 / 汤姆·提克威 / 沃尔特·塞勒斯 / 亚历山大·佩恩 / 杜可风 / 热拉尔·德帕迪约 / 阿方索·卡隆 / 120 分钟 / 巴黎，我爱你 / 剧情 / 喜剧 / 爱情 / 格斯·范·桑特 Gus Van Sant / 伊桑·科恩 Ethan Coen / 乔尔·科恩 Joel Coen / 杜可风 Christopher Doyle / 阿方索·卡隆 Alfonso Cuarón / 奥利维耶·阿萨亚斯 Olivier Assayas / 汤姆·提克威 Tom Tykwer / 亚历山大·佩恩 Alexander Payne / 诹访敦彦 Nobuhiro Suwa / 西维亚·乔迈 Sylvain Chomet / 韦斯·克雷文 Wes Craven / 英语 / 法语 / 西班牙语 / 汉语普通话 / 阿拉伯语2025-09-14修改删除",2025-09-14,https://movie.douban.com/subject/1783772/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1762258035.jpg,
地球之夜 / Night on Earth/ 地球这分钟 / 地球一夜,地球之夜 / Night on Earth/ 地球这分钟 / 地球一夜[可播放]1991-12-12 / 吉娜·罗兰兹 / 薇诺娜·瑞德 / 丽珊·法尔克 / 阿明·缪勒-斯塔尔 / 吉安卡罗·埃斯波西托 / 罗茜·佩雷兹 / 理查德·伯斯 / 伊萨赫·德·班克尔 / 碧翠斯·黛尔 / 帕斯卡尔·恩佐济 / 法国 / 英国 / 德国 / 美国 / 日本 / 吉姆·贾木许 / 129分钟 / 地球之夜 / 喜剧 / 剧情 / 吉姆·贾木许 Jim Jarmusch / 英语 / 法语 / 芬兰语 / 意大利语 / 德语2025-09-09修改删除,2025-09-09,https://movie.douban.com/subject/1301498/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p957052935.jpg,
随风而逝 / باد ما را خواهد برد/ 风再起时(港) / 风带着我来(台),随风而逝 / باد ما را خواهد برد/ 风再起时(港) / 风带着我来(台)[可播放]1999-09-06(威尼斯电影节) / 纳格·阿萨迪 / 贝赫扎德·杜兰 / 罗沙·卡拉姆埃尔米 / 巴赫曼·戈巴迪 / 贝赫扎德·多拉尼 / 伊朗 / 法国 / 阿巴斯·基亚罗斯塔米 / 118分钟 / 随风而逝 / 剧情 / Abbas Kiarostami / 波斯语2025-09-08修改删除,2025-09-08,https://movie.douban.com/subject/1303444/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2534949005.jpg,
樱桃的滋味 / طعم گیلاس/ 樱桃之味 / Taste of Cherry,樱桃的滋味 / طعم گیلاس/ 樱桃之味 / Taste of Cherry[可播放]1997-05-16(戛纳电影节) / 赫玛永·厄沙迪 / 阿卜杜拉曼·巴赫里 / 阿夫欣·呼罗希德·巴赫蒂亚里 / 沙珐·阿里·莫拉迪 / 米尔·霍森·努里 / 法国 / 伊朗 / 阿巴斯·基亚罗斯塔米 / 95分钟 / 樱桃的滋味 / 剧情 / 阿巴斯·基亚罗斯塔米 Abbas Kiarostami / 波斯语2025-09-08修改删除,2025-09-08,https://movie.douban.com/subject/1296177/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2522781398.jpg,
何处是我朋友的家 / خانه دوست کجاست؟‎/ 踏破铁鞋无觅处(港) / Where Is the Friend's Home?,何处是我朋友的家 / خانه دوست کجاست؟‎/ 踏破铁鞋无觅处(港) / Where Is the Friend's Home?[可播放]1987-02-01(曙光旬电影节) / 巴比·艾哈迈德·波 / 艾哈迈德·艾哈迈德·波 / 科达·巴和·迪范 / 伊朗 / 阿巴斯·基亚罗斯塔米 / 83分钟 / 87分钟(阿根廷) / 何处是我朋友的家 / 剧情 / 阿巴斯·基亚罗斯塔米 Abbas Kiarostami / 波斯语2025-09-08修改删除,2025-09-08,https://movie.douban.com/subject/1301897/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2637230609.jpg,
楢山节考 / 楢山節考/ The Ballad of Narayama,楢山节考 / 楢山節考/ The Ballad of Narayama1983-04-29(日本) / 绪形拳 / 坂本澄子 / 左顿平 / 竹城明 / 小泽昭一 / 常田富士男 / 深水三章 / 仓崎青儿 / 高田顺子 / 倍赏美津子 / 日本 / 今村昌平 / 131分钟 / 楢山节考 / 剧情 / 家庭 / 今村昌平 Shohei Imamura / 深泽七郎 Shichirô Fukazawa / 日语2025-09-08修改删除,2025-09-08,https://movie.douban.com/subject/1296703/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p981755735.jpg,
红樱桃/ Red Cherry / Красная вишня,红樱桃/ Red Cherry / Красная вишня1995-10(上海电影节) / 1996-11-01(中国香港) / 郭柯宇 / 徐啸力 / 伊格尔·列达哥洛夫 / 徐小玲 / 尤丽娅·塔尔赫娃 / 莉安卡·格鲁尤 / 中国大陆 / 叶大鹰 / 120分钟 / 剧情 / 战争 / 叶大鹰 Daying Ye / 江奇涛 Qitao Jiang / 芦苇 Wei Lu / 俄语 / 德语 / 汉语普通话2025-09-07修改删除,2025-09-07,https://movie.douban.com/subject/1305034/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2633679620.jpg,
寂静的朋友 / A néma barát/ 喑哑的友人 / Silent Friend,寂静的朋友 / A néma barát/ 喑哑的友人 / Silent Friend2025-09-05(威尼斯电影节) / 2025-09-08(多伦多电影节) / 2025(德国) / 梁朝伟 / 蕾雅·赛杜 / 卢娜·韦德勒 / 恩佐·布鲁姆 / 西尔维斯特·格罗特 / 马丁·乌特克 / 约翰内斯·赫格曼 / 赖纳·博克 / 黄云 / Felix Burose / 德国 / 匈牙利 / 法国 / 中国大陆 / 伊尔蒂科·茵叶蒂 / 147分钟 / 寂静的朋友 / 剧情 / 科幻 / 伊尔蒂科·茵叶蒂 Ildikó Enyedi / 英语 / 粤语 / 德语2025-09-06修改删除,2025-09-06,https://movie.douban.com/subject/26967871/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2924944796.jpg,
帕特森 / Paterson/ 柏德逊(港) / 派特森(台),帕特森 / Paterson/ 柏德逊(港) / 派特森(台)[可播放]2016-05-16(戛纳电影节) / 2016-12-28(美国) / 亚当·德赖弗 / 格什菲·法拉哈尼 / 内利 / 里兹万·曼吉 / 巴里·沙巴卡·亨利 / 特雷弗·帕勒姆 / 特洛伊·T·帕勒姆 / 布莱恩·麦卡锡 / 弗兰克·哈茨 / 小路易斯·达·席尔瓦 / 美国 / 法国 / 德国 / 吉姆·贾木许 / 118分钟 / 帕特森 / 剧情 / 吉姆·贾木许 Jim Jarmusch / 英语2025-09-05修改删除,2025-09-05,https://movie.douban.com/subject/26677495/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2385215679.jpg,
整蛊专家 / 整蠱專家/ 求爱总动员 / 整人专家,整蛊专家 / 整蠱專家/ 求爱总动员 / 整人专家[可播放]1991-02-02(中国香港) / 刘德华 / 周星驰 / 关之琳 / 邱淑贞 / 吴孟达 / 李子雄 / 王晶 / 成奎安 / 程东 / 陈百祥 / 中国香港 / 王晶 / 108分钟 / 整蛊专家 / 喜剧 / 爱情 / 王晶 Jing Wong / 粤语2025-09-02修改删除,2025-09-02,https://movie.douban.com/subject/1299680/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2164309000.jpg,
机遇之歌 / Przypadek/ 盲打误撞(港) / Blind Chance,机遇之歌 / Przypadek/ 盲打误撞(港) / Blind Chance1987-01-10(波兰) / 1987-05-08(戛纳电影节) / 博古斯瓦夫·林达 / 塔德乌什·罗姆尼斯基 / 比涅尤·扎塔西奇斯 / 伯格斯拉娃·帕韦莱茨 / 马尔泽娜·泰巴拉 / 亚切克·博尔科夫斯基 / 亚切克·萨斯-乌赫里诺夫斯基 / 亚当·费仁希 / 莫妮卡·戈兹克 / 齐格蒙特·哈布纳 / 波兰 / 克日什托夫·基耶斯洛夫斯基 / 114分钟 / 123分钟(未删节版) / 机遇之歌 / 剧情 / 克日什托夫·基耶斯洛夫斯基 Krzysztof Kieslowski / 波兰语2025-09-02修改删除,2025-09-02,https://movie.douban.com/subject/1307200/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504900419.jpg,
